0,1,2,3,4,5,6,7,8,9,10
JPX デリバティブ建玉残高状況（別紙1）,,,,,,,,,,
2026-03-10 00:00:00,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
＜日経225オプション（プット）＞,,,,,,＜日経225オプション（コール）＞,,,,
限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高",,限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高"
NIKKEI 225 P2603-43500,137,612,-16,628,,NIKKEI 225 C2603-56125,17,17,9,8
NIKKEI 225 P2603-43750,16,23,1,22,,NIKKEI 225 C2603-56250,130,110,71,39
NIKKEI 225 P2603-44000,957,4720,-377,5097,,NIKKEI 225 C2603-56375,24,43,-3,46
NIKKEI 225 P2603-44250,14,12,-3,15,,NIKKEI 225 C2603-56500,708,2298,100,2198
NIKKEI 225 P2603-44500,72,744,-9,753,,NIKKEI 225 C2603-56625,31,39,14,25
NIKKEI 225 P2603-44750,15,89,-6,95,,NIKKEI 225 C2603-56750,69,257,2,255
NIKKEI 225 P2603-45000,1810,6790,178,6612,,NIKKEI 225 C2603-56875,28,30,0,30
NIKKEI 225 P2603-45250,11,135,-2,137,,NIKKEI 225 C2603-57000,1796,3335,-85,3420
NIKKEI 225 P2603-45500,125,361,-19,380,,NIKKEI 225 C2603-57125,6,23,2,21
NIKKEI 225 P2603-45750,22,38,10,28,,NIKKEI 225 C2603-57250,42,139,20,119
NIKKEI 225 P2603-46000,602,5296,-61,5357,,NIKKEI 225 C2603-57375,16,105,5,100
NIKKEI 225 P2603-46250,18,133,0,133,,NIKKEI 225 C2603-57500,477,2355,11,2344
NIKKEI 225 P2603-46500,89,1210,1,1209,,NIKKEI 225 C2603-57625,12,346,0,346
NIKKEI 225 P2603-46750,11,971,0,971,,NIKKEI 225 C2603-57750,159,1691,-69,1760
NIKKEI 225 P2603-47000,1096,6242,-416,6658,,NIKKEI 225 C2603-57875,14,211,4,207
NIKKEI 225 P2603-47125,6,10,-3,13,,NIKKEI 225 C2603-58000,1114,5170,-512,5682
NIKKEI 225 P2603-47250,4,59,0,59,,NIKKEI 225 C2603-58125,14,88,0,88
NIKKEI 225 P2603-47375,4,27,-1,28,,NIKKEI 225 C2603-58250,79,249,39,210
NIKKEI 225 P2603-47500,296,2415,-78,2493,,NIKKEI 225 C2603-58375,9,9,-1,10
NIKKEI 225 P2603-47625,14,31,10,21,,NIKKEI 225 C2603-58500,264,601,18,583
NIKKEI 225 P2603-47750,4,287,-1,288,,NIKKEI 225 C2603-58625,8,8,0,8
NIKKEI 225 P2603-47875,1,40,1,39,,NIKKEI 225 C2603-58750,24,63,9,54
NIKKEI 225 P2603-48000,1942,4576,183,4393,,NIKKEI 225 C2603-58875,9,44,-1,45
NIKKEI 225 P2603-48125,14,26,-17,43,,NIKKEI 225 C2603-59000,610,3385,13,3372
NIKKEI 225 P2603-48250,8,22,-1,23,,NIKKEI 225 C2603-59125,111,119,92,27
NIKKEI 225 P2603-48375,5,59,1,58,,NIKKEI 225 C2603-59250,32,218,10,208
NIKKEI 225 P2603-48500,248,2234,-35,2269,,NIKKEI 225 C2603-59375,7,19,5,14
NIKKEI 225 P2603-48625,2,507,1,506,,NIKKEI 225 C2603-59500,150,1169,-63,1232
NIKKEI 225 P2603-48750,170,187,16,171,,NIKKEI 225 C2603-59625,8,14,-2,16
NIKKEI 225 P2603-48875,20,11,2,9,,NIKKEI 225 C2603-59750,19,260,-1,261
NIKKEI 225 P2603-49000,1222,6617,-26,6643,,NIKKEI 225 C2603-59875,13,30,3,27
NIKKEI 225 P2603-49125,9,334,5,329,,NIKKEI 225 C2603-60000,1448,6747,-195,6942
NIKKEI 225 P2603-49250,26,67,-14,81,,NIKKEI 225 C2603-60125,162,163,146,17
NIKKEI 225 P2603-49375,12,23,6,17,,NIKKEI 225 C2603-60250,61,46,12,34
NIKKEI 225 P2603-49500,185,2199,-97,2296,,NIKKEI 225 C2603-60375,14,62,-1,63
NIKKEI 225 P2603-49625,3,45,1,44,,NIKKEI 225 C2603-60500,249,422,83,339
NIKKEI 225 P2603-49750,23,1206,-50,1256,,NIKKEI 225 C2603-60625,10,17,0,17
NIKKEI 225 P2603-49875,14,30,4,26,,NIKKEI 225 C2603-60750,14,95,4,91
NIKKEI 225 P2603-50000,2225,6418,-275,6693,,NIKKEI 225 C2603-60875,12,21,3,18
NIKKEI 225 P2603-50125,19,75,0,75,,NIKKEI 225 C2603-61000,993,3102,634,2468
NIKKEI 225 P2603-50250,7,115,-4,119,,NIKKEI 225 C2603-61125,13,17,11,6
NIKKEI 225 P2603-50375,4,124,0,124,,NIKKEI 225 C2603-61250,6,134,1,133
NIKKEI 225 P2603-50500,390,1548,114,1434,,NIKKEI 225 C2603-61375,5,44,0,44
NIKKEI 225 P2603-50625,7,286,-5,291,,NIKKEI 225 C2603-61500,188,1734,57,1677
NIKKEI 225 P2603-50750,61,829,-3,832,,NIKKEI 225 C2603-61625,0,11,0,11
NIKKEI 225 P2603-50875,14,20,8,12,,NIKKEI 225 C2603-61750,1,26,-1,27
NIKKEI 225 P2603-51000,1185,2631,40,2591,,NIKKEI 225 C2603-61875,1,10,-1,11
NIKKEI 225 P2603-51125,13,68,0,68,,NIKKEI 225 C2603-62000,447,4332,-166,4498
NIKKEI 225 P2603-51250,73,1670,-6,1676,,NIKKEI 225 C2603-62500,114,651,-15,666
NIKKEI 225 P2603-51375,0,330,-1,331,,NIKKEI 225 C2603-63000,225,2289,-88,2377
NIKKEI 225 P2603-51500,238,583,4,579,,NIKKEI 225 C2603-63500,25,476,-4,480
NIKKEI 225 P2603-51625,22,175,0,175,,NIKKEI 225 C2603-64000,22,2260,-10,2270
NIKKEI 225 P2603-51750,216,458,206,252,,NIKKEI 225 C2603-64500,3,397,-1,398
NIKKEI 225 P2603-51875,12,531,4,527,,NIKKEI 225 C2603-65000,34,4888,-29,4917
NIKKEI 225 P2603-52000,2861,7086,1072,6014,,NIKKEI 225 C2603-65500,11,513,-8,521
NIKKEI 225 P2603-52125,238,343,5,338,,NIKKEI 225 C2603-66000,7,667,0,667
NIKKEI 225 P2603-52250,27,76,3,73,,NIKKEI 225 C2603-66500,1,169,0,169
NIKKEI 225 P2603-52375,0,24,0,24,,NIKKEI 225 C2603-67000,0,847,0,847
NIKKEI 225 P2603-52500,2101,3337,-146,3483,,NIKKEI 225 C2603-67500,0,175,0,175
NIKKEI 225 P2603-52625,4,12,0,12,,NIKKEI 225 C2603-68000,4,2779,-3,2782
NIKKEI 225 P2603-52750,88,230,-3,233,,NIKKEI 225 C2603-68500,0,131,0,131
NIKKEI 225 P2603-52875,10,36,-1,37,,NIKKEI 225 C2603-69000,0,242,0,242
NIKKEI 225 P2603-53000,1951,4463,654,3809,,NIKKEI 225 C2603-69500,0,88,0,88
NIKKEI 225 P2603-53125,0,9,0,9,,NIKKEI 225 C2603-70000,2,668,0,668
NIKKEI 225 P2603-53250,54,182,16,166,,NIKKEI 225 C2603-72500,0,379,0,379
NIKKEI 225 P2603-53375,0,652,0,652,,NIKKEI 225 C2603-75000,17,746,-11,757
NIKKEI 225 P2603-53500,526,411,-173,584,,限月合計,17615,122874,982,121892
NIKKEI 225 P2603-53625,7,51,-2,53,,,,,,
NIKKEI 225 P2603-53750,132,679,32,647,,NIKKEI 225 C2604-34250,0,32,0,32
NIKKEI 225 P2603-53875,0,177,0,177,,NIKKEI 225 C2604-38500,0,32,0,32
NIKKEI 225 P2603-54000,1453,5370,566,4804,,NIKKEI 225 C2604-43000,0,4,0,4
NIKKEI 225 P2603-54125,0,20,0,20,,NIKKEI 225 C2604-45000,0,15,0,15
NIKKEI 225 P2603-54250,118,136,58,78,,NIKKEI 225 C2604-47750,0,50,0,50
NIKKEI 225 P2603-54375,14,31,-10,41,,NIKKEI 225 C2604-50000,0,450,0,450
NIKKEI 225 P2603-54500,215,2329,5,2324,,NIKKEI 225 C2604-50500,0,200,0,200
NIKKEI 225 P2603-54625,0,256,0,256,,NIKKEI 225 C2604-51000,0,36,0,36
NIKKEI 225 P2603-54750,9,48,2,46,,NIKKEI 225 C2604-51500,0,591,0,591
NIKKEI 225 P2603-54875,0,51,0,51,,NIKKEI 225 C2604-52000,1,13,0,13
NIKKEI 225 P2603-55000,318,4072,-121,4193,,NIKKEI 225 C2604-52250,0,75,0,75
NIKKEI 225 P2603-55125,0,41,0,41,,NIKKEI 225 C2604-52500,2,305,2,303
